Número de Consulta,Tiempo de Respuesta (s),Uso de CPU (%),Uso de Memoria (%)
647,0.0006957054138183594,5.6,86.8
648,0.0025529861450195312,5.4,86.8
649,0.003048419952392578,5.4,86.8
650,0.0,5.5,86.8
651,0.0,1.9,86.8
652,0.003062725067138672,1.9,86.8
653,0.0,1.9,86.8
654,0.0,2.1,86.8
655,0.003030538558959961,2.1,86.8
656,0.003038167953491211,2.1,86.8
657,0.0,2.1,86.8
658,0.0,2.1,86.8
659,0.0,2.1,86.8
660,0.0,2.1,86.8
661,0.0,2.2,86.8
662,0.003052234649658203,2.3,86.8
663,0.0,2.3,86.8
664,0.003541231155395508,2.3,86.8
665,0.0,2.3,86.8
666,0.0,2.0,86.8
667,0.0,1.9,86.8
668,0.002608060836791992,1.9,86.8
669,0.003108501434326172,2.1,86.8
670,0.0,2.1,86.8
671,0.0,4.1,86.8
672,0.0010859966278076172,4.1,86.8
673,0.003059864044189453,3.9,86.8
674,0.0,3.9,86.8
675,0.003041505813598633,3.9,86.8
676,0.0,3.9,86.8
677,0.0,3.9,86.8
678,0.0,3.9,86.8
679,0.0,3.9,86.8
680,0.003284454345703125,3.9,86.8
681,0.0,5.3,86.8
682,0.0,5.4,86.8
683,0.0025823116302490234,5.4,86.9
684,0.0,5.3,86.9
685,0.0,5.5,86.9
686,0.0,5.6,86.9
687,0.0,5.6,86.9
688,0.0,5.6,86.9
689,0.0,5.6,86.9
690,0.0,6.1,86.9
691,0.0,3.1,86.9
692,0.0,3.5,86.9
693,0.0030264854431152344,3.7,86.9
694,0.0,3.9,86.9
695,0.0,3.9,86.9
696,0.0035986900329589844,3.9,86.9
697,0.0,3.9,86.9
698,0.0,3.9,86.9
699,0.0,3.9,86.9
700,0.0,3.8,86.9
701,0.0040225982666015625,4.1,86.9
702,0.0,4.1,86.9
703,0.0055468082427978516,4.3,86.9
704,0.0,4.3,86.9
705,0.002583742141723633,4.3,86.9
706,0.0035240650177001953,4.3,86.9
707,0.0,4.4,86.9
708,0.0,4.5,86.9
709,0.003522157669067383,4.3,86.9
710,0.0030205249786376953,4.3,86.9
711,0.0031082630157470703,3.6,86.9
712,0.0,3.5,86.9
713,0.0,3.9,86.9
714,0.0,3.9,86.9
715,0.0035724639892578125,4.1,86.9
716,0.0,4.1,86.9
717,0.003068685531616211,4.1,86.8
718,0.0,4.1,86.8
719,0.0,4.1,86.8
720,0.0,4.1,86.8
721,0.0,4.1,86.8
722,0.0030219554901123047,4.1,86.8
723,0.0,4.1,86.8
724,0.0,4.1,86.8
725,0.004027843475341797,4.1,86.8
726,0.0,4.1,86.8
727,0.0,4.1,86.8
728,0.0,4.0,86.8
729,0.0035300254821777344,4.0,86.8
730,0.0,4.1,86.8
731,0.0,5.3,86.8
732,0.0,5.2,86.8
733,0.0,5.2,86.8
734,0.0,5.6,86.8
735,0.0,5.6,86.8
736,0.0,5.6,86.8
737,0.002016305923461914,5.7,86.8
738,0.0,5.6,86.8
739,0.0,5.6,86.8
740,0.0,5.6,86.8
741,0.0,5.6,86.8
742,0.0,6.0,86.8
743,0.002011537551879883,6.0,86.8
744,0.0025119781494140625,6.0,86.8
745,0.0,6.0,86.8
746,0.0,6.0,86.8
747,0.0009822845458984375,6.0,86.8
748,0.0,6.0,86.8
749,0.0,6.2,86.8
750,0.0030732154846191406,6.1,86.8
751,0.0,7.0,86.8
752,0.0,7.0,86.8
753,0.0,7.0,86.8
754,0.0,7.0,86.8
755,0.0,7.1,86.8
756,0.0030126571655273438,7.0,86.8
757,0.0,7.0,86.8
758,0.0,6.9,86.8
759,0.0,7.1,86.8
760,0.0001513957977294922,7.0,86.8
761,0.0,4.5,86.8
762,0.0,4.5,86.8
763,0.0,4.5,86.8
764,0.0,4.5,86.8
765,0.0,4.5,86.8
766,0.0,4.7,86.8
767,0.003017902374267578,4.7,86.8
768,0.0,4.7,86.8
769,0.0,4.7,86.8
770,0.0,4.1,86.8
771,0.0,6.2,86.8
772,0.0,6.1,86.8
773,0.0,6.2,86.8
774,0.0,6.1,86.8
775,0.0,6.2,86.8
776,0.0,6.2,86.8
777,0.0,6.4,86.8
778,0.0,6.4,86.8
779,0.0,6.3,86.8
780,0.0,6.2,86.8
781,0.0015113353729248047,7.7,86.8
782,0.003529071807861328,7.6,86.8
783,0.0,7.0,86.8
784,0.0,6.0,86.8
785,0.003668069839477539,4.9,86.8
786,0.0,4.7,86.8
787,0.0,4.6,86.8
788,0.0,4.5,86.8
789,0.0,4.4,86.8
790,0.0,4.5,86.8
791,0.001055002212524414,4.6,86.8
792,0.0,4.7,86.8
793,0.0,4.6,86.8
794,0.0,4.7,86.8
795,0.0,4.6,86.8
796,0.0032045841217041016,4.8,86.8
797,0.0,4.8,86.8
798,0.0,5.2,86.8
799,0.0035429000854492188,5.3,86.8
800,0.0,5.3,86.8
